ACTUAL	CHEFLIEU	CDC	RANG	REG	DEP	COM	AR	CT	MODIF	POLE	TNCC	ARTMAJ	NCC	ARTMIN	NCCENR	ARTICLCT	NCCCT	MOD	MANIP
1	0	0		54	16	253	3	29	1		0		PAIZAY-NAUDOUIN-EMBOURIE		Paizay-Naudouin-Embourie		Villefagnan	42	M
1	0	0		54	16	262	2	23	1		0		PLAIZAC		Plaizac		Rouillac	42	M
1	0	0		54	16	268	3	24	1		0		POURSAC		Poursac		Ruffec	42	M
1	0	0		54	16	272	3	18	1		0		PUYREAUX		Puyréaux		Mansle	42	M
1	0	0		54	16	273	3	29	1		0		RAIX		Raix		Villefagnan	42	M
1	0	0		54	16	275	3	01	1		0		RANVILLE-BREUILLAUD		Ranville-Breuillaud		Aigre	42	M
1	1	0		54	16	286	2	23	1		0		ROUILLAC		Rouillac		Rouillac	42	M
1	1	0		54	16	292	3	24	1		0		RUFFEC		Ruffec		Ruffec	42	M
1	0	0		54	16	296	3	18	1		0		SAINT-AMANT-DE-BONNIEURE		Saint-Amant-de-Bonnieure		Mansle	42	M
1	0	0		54	16	300	3	18	1		0		SAINT-ANGEAU		Saint-Angeau		Mansle	42	M
1	0	0		54	16	307	3	18	1		0		SAINT-CIERS-SUR-BONNIEURE		Saint-Ciers-sur-Bonnieure		Mansle	42	M
1	0	0		54	16	309	3	18	1		0		SAINTE-COLOMBE		Sainte-Colombe		Mansle	42	M
1	0	0		54	16	312	2	23	1		0		SAINT-CYBARDEAUX		Saint-Cybardeaux		Rouillac	42	M
1	0	0		54	16	317	3	01	1		0		SAINT-FRAIGNE		Saint-Fraigne		Aigre	42	M
1	0	0		54	16	318	3	18	1		0		SAINT-FRONT		Saint-Front		Mansle	42	M
1	0	0		54	16	321	3	24	1		0		SAINT-GEORGES		Saint-Georges		Ruffec	42	M
1	0	0		54	16	325	3	24	1		0		SAINT-GOURSON		Saint-Gourson		Ruffec	42	M
1	0	0		54	16	326	3	18	1		0		SAINT-GROUX		Saint-Groux		Mansle	42	M
1	0	0		54	16	335	3	29	1		0		SAINT-MARTIN-DU-CLOCHER		Saint-Martin-du-Clocher		Villefagnan	42	M
1	0	0		54	16	339	2	23	1		1		AUGE-SAINT-MEDARD		Auge-Saint-Médard		Rouillac	42	M
1	0	0		54	16	356	3	24	1		0		SAINT-SULPICE-DE-RUFFEC		Saint-Sulpice-de-Ruffec		Ruffec	42	M
1	0	0		54	16	361	3	29	1		0		SALLES-DE-VILLEFAGNAN		Salles-de-Villefagnan		Villefagnan	42	M
1	0	0		54	16	371	2	23	1		0		SONNEVILLE		Sonneville		Rouillac	42	M
1	0	0		54	16	373	3	29	1		0		SOUVIGNE		Souvigné		Villefagnan	42	M
1	0	0		54	16	377	3	18	1		3	(LA)	TACHE	(La)	Tâche		Mansle	42	M
1	0	0		54	16	378	3	24	1		0		TAIZE-AIZIE		Taizé-Aizie		Ruffec	42	M
1	0	0		54	16	381	3	29	1		0		THEIL-RABIER		Theil-Rabier		Villefagnan	42	M
1	0	0		54	16	390	3	01	1		0		TUSSON		Tusson		Aigre	42	M
1	0	0		54	16	391	3	29	1		0		TUZIE		Tuzie		Villefagnan	42	M
1	0	0		54	16	392	3	18	1		0		VALENCE		Valence		Mansle	42	M
1	0	0		54	16	395	2	23	1		0		VAUX-ROUILLAC		Vaux-Rouillac		Rouillac	42	M
1	0	0		54	16	396	3	18	1		0		VENTOUSE		Ventouse		Mansle	42	M
1	0	0		54	16	397	3	01	1		0		VERDILLE		Verdille		Aigre	42	M
1	0	0		54	16	400	3	24	1		0		VERTEUIL-SUR-CHARENTE		Verteuil-sur-Charente		Ruffec	42	M
1	0	0		54	16	404	3	24	1		0		VIEUX-RUFFEC		Vieux-Ruffec		Ruffec	42	M
1	1	0		54	16	409	3	29	1		0		VILLEFAGNAN		Villefagnan		Villefagnan	42	M
1	0	0		54	16	410	3	24	1		0		VILLEGATS		Villegats		Ruffec	42	M
1	0	0		54	16	411	3	01	1		0		VILLEJESUS		Villejésus		Aigre	42	M
1	0	0		54	16	413	3	29	1		0		VILLIERS-LE-ROUX		Villiers-le-Roux		Villefagnan	42	M
1	0	0		54	16	414	3	18	1		0		VILLOGNON		Villognon		Mansle	42	M
1	0	0		54	17	013	5	29	1		1		ANTEZANT-LA-CHAPELLE		Antezant-la-Chapelle		Saint-Jean-d'Angély	36	M
3				54	17	014			1	17332	1		ANTIGNAC		Antignac			35	M
3				54	17	088			1	17013	3	(LA)	CHAPELLE-BATON	(La)	Chapelle-Bâton			35	M
1	0	0		54	17	332	1	27	1		0		SAINT-GEORGES-ANTIGNAC		Saint-Georges-Antignac		Saint-Genis-de-Saintonge	36	M
1	0	0		54	17	384	5	12	1		0		SAINT-PIERRE-DE-L'ISLE		Saint-Pierre-de-l'Isle		Loulay	10	M
1	0	0		74	19	026	1	03	1		0		BILHAC		Bilhac		Beaulieu-sur-Dordogne	10	M
1	0	0		74	19	034	2	16	1		0		CAMPS-SAINT-MATHURIN-LEOBAZEL		Camps-Saint-Mathurin-Léobazel		Mercœur	36	M
3				74	19	224			1	19034	0		SAINT-MATHURIN-LEOBAZEL		Saint-Mathurin-Léobazel			35	M
1	0	0		94	2A	215	4	70	1		0		PIANOTTOLI-CALDARELLO		Pianottoli-Caldarello		Figari	10	M
1	0	0		94	2B	029	5	29	1		0		BARBAGGIO		Barbaggio	(La)	Conca-d'Oro	42	M
1	0	0		94	2B	036	3	14	1		0		BIGORNO		Bigorno		Alto-di-Casaconi	42	M
1	0	0		94	2B	054	3	14	1		0		CAMPILE		Campile		Alto-di-Casaconi	42	M
1	1	0		94	2B	055	3	14	1		0		CAMPITELLO		Campitello		Alto-di-Casaconi	42	M
1	0	0		94	2B	059	3	14	1		0		CANAVAGGIA		Canavaggia		Alto-di-Casaconi	42	M
1	0	0		94	2B	069	3	39	1		0		CASABIANCA		Casabianca		Fiumalto-d'Ampugnani	42	M
1	0	0		94	2B	072	3	39	1		0		CASALTA		Casalta		Fiumalto-d'Ampugnani	42	M
1	0	0		94	2B	077	3	59	1		0		CASTELLARE-DI-CASINCA		Castellare-di-Casinca		Vescovato	42	M
1	1	0		94	2B	087	3	16	1		0		CERVIONE		Cervione		Campoloro-di-Moriani	42	M
1	0	0		94	2B	101	3	39	1		0		CROCE		Croce		Fiumalto-d'Ampugnani	42	M
1	0	0		94	2B	102	3	14	1		0		CROCICCHIA		Crocicchia		Alto-di-Casaconi	42	M
1	0	0		94	2B	109	5	29	1		0		FARINOLE		Farinole	(La)	Conca-d'Oro	42	M
1	0	0		94	2B	113	3	39	1		0		FICAJA		Ficaja		Fiumalto-d'Ampugnani	42	M
1	0	0		94	2B	125	3	39	1		0		GIOCATOJO		Giocatojo		Fiumalto-d'Ampugnani	42	M
1	0	0		94	2B	136	5	26	1		0		LAMA		Lama	(Le)	Haut-Nebbio	42	M
1	0	0		94	2B	140	3	14	1		0		LENTO		Lento		Alto-di-Casaconi	42	M
1	0	0		94	2B	145	3	59	1		0		LORETO-DI-CASINCA		Loreto-di-Casinca		Vescovato	42	M
1	0	0		94	2B	166	3	14	1		0		MONTE		Monte		Alto-di-Casaconi	42	M
1	1	0		94	2B	172	5	26	1		0		MURATO		Murato	(Le)	Haut-Nebbio	42	M
1	1	0		94	2B	185	5	29	1		1		OLETTA		Oletta	(La)	Conca-d'Oro	42	M
1	0	0		94	2B	188	5	29	1		1		OLMETA-DI-TUDA		Olmeta-di-Tuda	(La)	Conca-d'Oro	42	M
1	0	0		94	2B	192	3	14	1		1		OLMO		Olmo		Alto-di-Casaconi	42	M
1	0	0		94	2B	195	3	14	1		1		ORTIPORIO		Ortiporio		Alto-di-Casaconi	42	M
1	0	0		94	2B	205	5	29	1		0		PATRIMONIO		Patrimonio	(La)	Conca-d'Oro	42	M
1	0	0		94	2B	206	3	14	1		0		PENTA-ACQUATELLA		Penta-Acquatella		Alto-di-Casaconi	42	M
1	0	0		94	2B	207	3	59	1		0		PENTA-DI-CASINCA		Penta-di-Casinca		Vescovato	42	M
1	0	0		94	2B	210	3	39	1		0		PERO-CASEVECCHIE		Pero-Casevecchie		Fiumalto-d'Ampugnani	42	M
1	0	0		94	2B	214	3	39	1		0		PIANO		Piano		Fiumalto-d'Ampugnani	42	M
1	0	0		94	2B	223	5	26	1		0		PIETRALBA		Pietralba	(Le)	Haut-Nebbio	42	M
1	0	0		94	2B	230	5	26	1		0		PIEVE		Piève	(Le)	Haut-Nebbio	42	M
1	0	0		94	2B	239	5	29	1		0		POGGIO-D'OLETTA		Poggio-d'Oletta	(La)	Conca-d'Oro	42	M
1	0	0		94	2B	241	3	39	1		0		POGGIO-MARINACCIO		Poggio-Marinaccio		Fiumalto-d'Ampugnani	42	M
1	0	0		94	2B	242	3	39	1		0		POGGIO-MEZZANA		Poggio-Mezzana		Fiumalto-d'Ampugnani	42	M
1	0	0		94	2B	243	3	39	1		0		POLVEROSO		Polveroso		Fiumalto-d'Ampugnani	42	M
1	0	0		94	2B	245	3	59	1		0		PORRI		Porri		Vescovato	42	M
1	1	0		94	2B	246	3	39	1		3	(LA)	PORTA	(La)	Porta		Fiumalto-d'Ampugnani	42	M
1	0	0		94	2B	250	3	14	1		0		PRUNELLI-DI-CASACCONI		Prunelli-di-Casacconi		Alto-di-Casaconi	42	M
